id;descripcion_opcion;precio
1;Incredible;Multi-layered optimizing
2;Assistant;Toys models
3;facilitate info-mediaries Fully-configurable;Rhode Island
4;bandwidth web-enabled Personal Loan Account;distributed capacitor
5;capacity Ergonomic Wooden Cheese Chad;payment orange
6;Concrete Cotton;Buckinghamshire
7;COM Bike;solutions mindshare backing up
8;sexy Orchestrator;overriding plum hard drive
9;Trace quantify Gorgeous Granite Chicken;streamline orchestrate Metal
10;Hryvnia array;Checking Account Sports Fantastic Concrete Chicken
